TOWN,TotCase,Case2w,rate100k,posTest2w,percPos2w
ABINGTON,861,180,70.5,194,11.09,
ACTON,509,77,23.2,96,3.86,
ACUSHNET,574,93,63.6,113,12.03,
ADAMS,126,24,20.8,25,3.52,
AGAWAM,1386,211,52.9,251,6.73,
ALFORD,5,0,0,0,0,
AMESBURY,614,118,50.8,135,7.80,
AMHERST,832,111,19.7,127,2.22,
ANDOVER,1419,250,49.5,294,5.81,
AQUINNAH,5,0,0,0,0,
ARLINGTON,985,157,24.5,181,2.85,
ASHBURNHAM,166,38,43.2,41,7.77,
ASHBY,84,17,34.8,17,8.54,
ASHFIELD,17,5,8.4,2,1.68,
ASHLAND,822,102,37.0,116,4.91,
ATHOL,341,89,53.1,102,7.06,
ATTLEBORO,2355,337,51.7,391,8.31,
AUBURN,893,210,91.0,224,10.30,
AVON,237,46,75.1,49,9.72,
AYER,426,141,124.4,144,12.64,
BARNSTABLE,1691,306,48.8,335,6.95,
BARRE,143,16,20.6,16,3.95,
BECKET,32,7,27.8,8,4.65,
BEDFORD,476,53,25.2,61,2.54,
BELCHERTOWN,389,73,32.5,84,4.82,
BELLINGHAM,581,113,44.8,128,10.44,
BELMONT,627,105,27.4,121,3.17,
BERKLEY,339,71,74.4,74,10.42,
BERLIN,88,7,15.5,10,3.18,
BERNARDSTON,29,5,6.9,4,1.80,
BEVERLY,1888,370,64.3,420,5.62,
BILLERICA,2093,445,72.8,480,9.38,
BLACKSTONE,302,58,45.9,63,9.24,
BLANDFORD,24,5,11.8,3,3.37,
BOLTON,89,23,32.5,24,3.86,
BOSTON,39454,5322,54.9,6159,4.18,
BOURNE,536,104,35.3,121,4.93,
BOXBOROUGH,98,20,28.2,20,4.04,
BOXFORD,269,63,58.9,69,4.79,
BOYLSTON,157,37,58.9,38,7.21,
BRAINTREE,2140,369,66.5,415,7.62,
BREWSTER,195,24,17.3,26,2.54,
BRIDGEWATER,1309,344,85.9,390,11.18,
BRIMFIELD,84,18,34.5,21,6.31,
BROCKTON,8496,879,63.3,1050,9.91,
BROOKFIELD,110,32,62.0,33,10.15,
BROOKLINE,1205,216,23.8,250,2.16,
BUCKLAND,25,5,3.9,1,4.00,
BURLINGTON,1008,210,53.9,232,7.55,
CAMBRIDGE,2835,408,26.0,479,1.32,
CANTON,866,171,52.7,193,5.47,
CARLISLE,92,25,37.8,27,4.07,
CARVER,302,61,35.6,67,8.18,
CHARLEMONT,5,0,0,0,0,
CHARLTON,489,86,43.4,99,5.81,
CHATHAM,93,25,30.6,28,4.76,
CHELMSFORD,1555,298,59.2,323,8.12,
CHELSEA,6204,648,125.4,781,10.74,
CHESHIRE,43,14,34.1,15,4.76,
CHESTER,15,5,21.0,4,5.88,
CHESTERFIELD,18,5,17.5,3,2.91,
CHICOPEE,2708,485,61.1,599,9.55,
CHILMARK,7,5,9.4,1,0.53,
CLARKSBURG,23,5,12.8,4,3.96,
CLINTON,844,153,77.6,179,12.81,
COHASSET,162,48,46.6,51,4.81,
COLRAIN,17,8,36.1,8,5.23,
CONCORD,660,56,21.4,64,2.44,
CONWAY,13,5,18.5,5,2.48,
CUMMINGTON,11,0,0,0,0,
DALTON,107,15,16.6,16,1.46,
DANVERS,1852,298,74.3,339,6.10,
DARTMOUTH,1899,356,68.5,406,10.22,
DEDHAM,1129,184,48.0,200,5.47,
DEERFIELD,88,16,21.5,26,3.96,
DENNIS,298,79,43.1,87,7.49,
DIGHTON,367,79,71.2,87,12.46,
DOUGLAS,260,38,28.6,42,6.56,
DOVER,116,26,36.2,28,3.84,
DRACUT,2065,371,81.8,421,11.25,
DUDLEY,447,109,62.4,120,11.45,
DUNSTABLE,83,14,30.0,18,6.69,
DUXBURY,395,76,35.9,82,4.93,
EAST BRIDGEWATER,591,106,50.9,136,10.39,
EAST BROOKFIELD,71,22,70.0,22,11.17,
EAST LONGMEADOW,860,142,59.6,164,6.58,
EASTHAM,47,5,4.7,3,1.35,
EASTHAMPTON,415,64,28.2,73,2.84,
EASTON,899,157,47.2,171,6.43,
EDGARTOWN,136,15,26.2,16,2.29,
EGREMONT,9,0,0,0,0,
ERVING,30,8,27.0,9,5.59,
ESSEX,81,19,36.4,21,5.30,
EVERETT,5276,706,103.9,857,12.62,
FAIRHAVEN,971,179,79.8,207,8.46,
FALL RIVER,7813,1281,102.4,1525,13.60,
FALMOUTH,685,127,29.1,148,4.20,
FITCHBURG,2728,455,77.2,517,11.44,
FLORIDA,5,0,0,0,0,
FOXBOROUGH,586,111,43.5,128,5.00,
FRAMINGHAM,4998,597,57.3,711,7.34,
FRANKLIN,849,199,41.9,218,7.36,
FREETOWN,465,114,90.0,123,13.96,
GARDNER,1033,320,115.0,354,15.22,
GEORGETOWN,275,51,40.5,55,5.84,
GILL,16,5,8.5,3,1.71,
GLOUCESTER,900,138,34.7,149,4.94,
GOSHEN,13,0,0,0,0,
GOSNOLD,5,0,0,0,0,
GRAFTON,560,100,35.5,129,5.83,
GRANBY,172,35,40.9,42,6.70,
GRANVILLE,44,8,36.9,8,6.45,
GREAT BARRINGTON,164,20,21.3,21,1.86,
GREENFIELD,495,67,27.9,77,3.12,
GROTON,231,39,23.8,46,4.21,
GROVELAND,243,63,65.7,72,10.13,
HADLEY,143,48,59.1,60,5.66,
HALIFAX,247,53,49.5,58,9.16,
HAMILTON,156,32,31.0,36,2.35,
HAMPDEN,231,23,33.5,26,3.75,
HANCOCK,12,5,33.4,3,16.67,
HANOVER,642,239,118.7,256,13.73,
HANSON,426,83,55.1,99,8.15,
HARDWICK,34,5,8.6,5,3.31,
HARVARD,69,15,15.4,16,3.16,
HARWICH,310,40,22.7,41,3.94,
HATFIELD,61,11,24.3,12,2.96,
HAVERHILL,4580,761,82.4,941,10.95,
HAWLEY,0,0,0,0,0,
HEATH,5,0,0,1,3.23,
HINGHAM,890,185,55.0,214,4.93,
HINSDALE,21,8,26.9,8,3.62,
HOLBROOK,521,69,43.5,83,7.11,
HOLDEN,721,162,60.9,181,7.69,
HOLLAND,55,11,30.6,13,7.30,
HOLLISTON,396,78,40.6,81,5.63,
HOLYOKE,2975,376,66.1,474,7.38,
HOPEDALE,187,36,45.6,41,6.42,
HOPKINTON,392,60,26.2,62,3.72,
HUBBARDSTON,69,13,19.8,13,3.52,
HUDSON,859,133,45.1,148,7.18,
HULL,231,50,36.5,55,6.75,
HUNTINGTON,48,5,6.5,3,1.63,
IPSWICH,350,83,44.2,96,5.43,
KINGSTON,455,86,44.9,98,5.46,
LAKEVILLE,414,95,59.7,102,9.38,
LANCASTER,297,51,42.4,54,6.01,
LANESBOROUGH,59,13,30.7,13,4.39,
LAWRENCE,13395,1598,130.1,2260,17.75,
LEE,147,52,63.7,76,8.92,
LEICESTER,567,93,59.0,106,8.45,
LENOX,133,9,13.3,10,1.39,
LEOMINSTER,2809,482,85.3,551,10.51,
LEVERETT,20,5,10.6,4,1.44,
LEXINGTON,673,113,23.7,125,2.83,
LEYDEN,5,0,0,0,0,
LINCOLN,110,22,18.1,27,3.62,
LITTLETON,300,39,28.6,46,3.68,
LONGMEADOW,646,147,68.2,166,6.37,
LOWELL,10539,1482,91.1,1788,10.80,
LUDLOW,1059,236,81.4,283,10.31,
LUNENBURG,355,45,30.9,52,5.88,
LYNN,10989,1435,101.7,1827,13.92,
LYNNFIELD,692,164,101.0,180,7.76,
MALDEN,4006,617,65.1,742,8.39,
MANCHESTER,117,30,43.7,31,2.56,
MANSFIELD,803,171,51.7,183,7.42,
MARBLEHEAD,698,138,51.8,161,3.98,
MARION,185,22,34.2,28,4.72,
MARLBOROUGH,2863,393,64.4,445,8.29,
MARSHFIELD,800,176,48.5,193,8.42,
MASHPEE,284,54,24.8,81,5.34,
MATTAPOISETT,221,47,58.6,54,7.75,
MAYNARD,305,45,30.9,50,4.80,
MEDFIELD,256,56,35.5,58,3.61,
MEDFORD,3007,489,57.5,558,3.56,
MEDWAY,373,45,24.6,51,4.00,
MELROSE,1102,203,50.0,248,5.11,
MENDON,164,19,23.5,22,5.29,
MERRIMAC,202,50,56.2,56,7.40,
METHUEN,4517,731,97.0,973,12.05,
MIDDLEBOROUGH,967,189,49.3,219,7.32,
MIDDLEFIELD,5,5,16.1,1,8.33,
MIDDLETON,905,254,174.0,272,12.51,
MILFORD,1793,257,62.6,281,9.79,
MILLBURY,695,109,57.0,120,8.08,
MILLIS,215,42,38.1,46,6.69,
MILLVILLE,89,15,29.9,17,6.83,
MILTON,1201,232,57.6,274,5.21,
MONROE,5,0,0,0,0,
MONSON,231,49,41.7,50,7.86,
MONTAGUE,143,36,30.4,38,3.97,
MONTEREY,13,5,7.7,1,1.28,
MONTGOMERY,11,5,16.1,2,8.33,
MOUNT WASHINGTON,0,0,0,0,0,
NAHANT,130,21,46.4,25,3.46,
NANTUCKET,731,120,75.1,123,7.44,
NATICK,1005,133,26.4,144,2.94,
NEEDHAM,838,122,29.8,138,2.77,
NEW ASHFORD,5,5,40.6,1,14.29,
NEW BEDFORD,7674,1215,86.8,1456,12.09,
NEW BRAINTREE,14,5,13.5,2,3.64,
NEW MARLBOROUGH,16,5,4.7,1,1.59,
NEW SALEM,8,5,7.3,1,1.43,
NEWBURY,163,48,51.9,54,7.33,
NEWBURYPORT,619,102,41.0,121,4.34,
NEWTON,2202,312,24.3,372,2.08,
NORFOLK,675,76,43.5,86,8.35,
NORTH ADAMS,199,42,23.3,48,3.43,
NORTH ANDOVER,1710,326,76.9,390,7.70,
NORTH ATTLEBOROUGH,1116,194,45.7,205,7.41,
NORTH BROOKFIELD,127,36,55.5,36,8.96,
NORTH READING,731,176,75.5,192,7.91,
NORTHAMPTON,616,86,21.0,106,2.19,
NORTHBOROUGH,710,117,61.6,133,4.55,
NORTHBRIDGE,746,71,27.8,84,4.22,
NORTHFIELD,19,5,12.1,5,1.82,
NORTON,718,110,39.5,124,7.06,
NORWELL,313,69,46.0,73,5.54,
NORWOOD,1560,259,61.1,297,7.16,
OAK BLUFFS,114,22,30.2,22,3.98,
OAKHAM,44,19,63.6,20,11.24,
ORANGE,137,36,31.6,38,4.51,
ORLEANS,62,18,22.9,18,4.75,
OTIS,22,7,26.6,9,7.44,
OXFORD,486,157,81.6,168,13.43,
PALMER,387,81,49.0,88,7.73,
PAXTON,211,54,77.9,59,11.24,
PEABODY,3818,694,88.6,811,8.65,
PELHAM,16,5,17.4,3,3.49,
PEMBROKE,520,124,47.2,142,8.18,
PEPPERELL,270,53,30.8,60,6.79,
PERU,5,0,0,0,0,
PETERSHAM,20,5,16.9,3,3.09,
PHILLIPSTON,39,10,41.7,11,8.21,
PITTSFIELD,1390,182,29.6,202,3.23,
PLAINFIELD,11,0,0,0,0,
PLAINVILLE,296,60,46.5,65,8.06,
PLYMOUTH,2015,386,44.0,441,6.20,
PLYMPTON,57,16,38.0,17,7.98,
PRINCETON,82,20,44.2,20,6.04,
PROVINCETOWN,43,6,16.6,6,2.23,
QUINCY,3833,719,50.6,831,6.70,
RANDOLPH,2240,282,58.5,339,8.19,
RAYNHAM,778,186,87.9,215,11.03,
READING,1014,231,59.6,252,6.13,
REHOBOTH,508,89,50.0,100,9.84,
REVERE,6654,945,110.9,1230,12.29,
RICHMOND,21,5,10.9,2,1.50,
ROCHESTER,196,37,46.6,41,8.51,
ROCKLAND,903,181,71.5,203,9.21,
ROCKPORT,155,32,35.4,34,5.07,
ROWE,5,0,0,0,0,
ROWLEY,204,51,58.9,55,7.40,
ROYALSTON,26,8,44.9,8,7.34,
RUSSELL,55,7,26.4,8,5.48,
RUTLAND,267,53,41.5,60,6.51,
SALEM,2663,462,73.3,595,6.57,
SALISBURY,332,82,66.2,89,9.82,
SANDISFIELD,17,5,30.7,5,4.59,
SANDWICH,323,68,23.0,72,4.94,
SAUGUS,2314,417,104.6,511,10.51,
SAVOY,7,5,11.5,1,1.85,
SCITUATE,511,85,33.5,93,5.01,
SEEKONK,709,106,54.0,124,11.24,
SHARON,439,69,27.0,82,4.14,
SHEFFIELD,49,7,16.4,7,1.61,
SHELBURNE,21,5,3.9,1,0.28,
SHERBORN,87,18,34.1,19,3.96,
SHIRLEY,622,91,76.2,97,14.61,
SHREWSBURY,1514,304,55.0,327,6.83,
SHUTESBURY,18,5,16.4,4,1.92,
SOMERSET,1105,211,81.4,243,12.26,
SOMERVILLE,3129,413,39.0,483,2.23,
SOUTH HADLEY,530,98,38.7,120,5.39,
SOUTHAMPTON,169,47,55.8,51,6.89,
SOUTHBOROUGH,258,65,48.0,68,4.36,
SOUTHBRIDGE,918,171,72.8,198,12.56,
SOUTHWICK,273,36,26.2,38,5.40,
SPENCER,404,91,56.7,95,8.29,
SPRINGFIELD,10995,1669,76.3,2110,11.57,
STERLING,399,76,69.1,81,7.29,
STOCKBRIDGE,27,5,4.2,1,0.33,
STONEHAM,1312,286,91.8,322,6.80,
STOUGHTON,1502,274,70.7,300,9.76,
STOW,128,20,19.7,24,3.61,
STURBRIDGE,268,67,45.3,72,8.20,
SUDBURY,411,60,24.1,64,2.59,
SUNDERLAND,89,8,15.4,10,1.36,
SUTTON,349,65,51.9,69,8.08,
SWAMPSCOTT,598,132,69.2,164,5.19,
SWANSEA,910,145,64.9,165,9.14,
TAUNTON,3117,590,73.2,689,9.87,
TEMPLETON,295,59,46.7,64,5.65,
TEWKSBURY,1910,361,83.7,387,7.85,
TISBURY,152,24,41.1,26,2.91,
TOLLAND,5,0,0,0,0,
TOPSFIELD,266,42,51.9,46,4.59,
TOWNSEND,207,33,25.9,38,6.34,
TRURO,18,0,0,0,0,
TYNGSBOROUGH,658,107,63.8,120,10.44,
TYRINGHAM,6,5,118.3,4,11.43,
UPTON,152,37,28.7,39,6.02,
UXBRIDGE,466,87,39.8,96,8.55,
WAKEFIELD,1194,260,68.5,317,5.87,
WALES,35,7,26.2,7,5.88,
WALPOLE,895,193,52.9,219,6.74,
WALTHAM,3112,448,48.2,510,5.47,
WARE,205,43,30.2,48,5.09,
WAREHAM,779,141,41.6,165,7.21,
WARREN,84,21,27.6,24,7.64,
WARWICK,5,5,19.5,2,3.64,
WASHINGTON,5,0,0,0,0,
WATERTOWN,1280,229,49.5,277,4.41,
WAYLAND,308,66,35.7,77,3.45,
WEBSTER,937,232,96.5,256,10.75,
WELLESLEY,639,78,18.8,88,1.58,
WELLFLEET,28,5,2.6,1,0.78,
WENDELL,9,5,10.1,1,1.72,
WENHAM,140,40,54.9,46,5.33,
WEST BOYLSTON,277,48,43.7,52,5.63,
WEST BRIDGEWATER,416,99,97.1,107,9.75,
WEST BROOKFIELD,109,30,57.9,32,6.41,
WEST NEWBURY,99,24,42.5,25,5.20,
WEST SPRINGFIELD,1462,205,49.9,239,6.67,
WEST STOCKBRIDGE,22,5,24.3,5,3.38,
WEST TISBURY,53,6,14.9,7,2.21,
WESTBOROUGH,887,127,48.5,147,4.30,
WESTFIELD,1527,225,38.9,249,6.12,
WESTFORD,660,125,38.7,137,6.11,
WESTHAMPTON,27,9,37.6,9,11.84,
WESTMINSTER,223,57,55.7,58,8.32,
WESTON,284,36,23.4,44,1.99,
WESTPORT,786,161,68.6,182,11.00,
WESTWOOD,462,84,40.8,88,4.68,
WEYMOUTH,2374,526,66.9,574,9.32,
WHATELY,36,6,29.5,7,8.14,
WHITMAN,666,136,62.5,157,10.58,
WILBRAHAM,712,111,54.6,138,7.01,
WILLIAMSBURG,41,7,20.3,7,1.91,
WILLIAMSTOWN,161,25,24.9,30,1.72,
WILMINGTON,1208,289,84.4,321,10.68,
WINCHENDON,300,49,32.5,51,5.79,
WINCHESTER,646,141,45.2,155,3.46,
WINDSOR,7,0,0,0,0,
WINTHROP,1383,192,72.7,257,5.97,
WOBURN,2446,448,77.1,526,8.64,
WORCESTER,14458,2047,76.3,2320,7.50,
WORTHINGTON,20,5,6.8,1,0.93,
WRENTHAM,564,91,57.7,98,5.15,
YARMOUTH,624,172,51.1,204,7.78,
UNKNOWN,1042,209,*,213,*,
STATE,352558,56889,58.3,66504,6.51,
